timestamp,file_name,satisfied_clauses,total_clauses,all_satisfied,voltages,plot_file
2025-03-11 23:55:57,example.cnf,7,7,True,"{""x1"": 2.100328409723518, ""x2"": 2.10032932099753, ""x3"": -1.100300362576948}",graphs/example.png
2025-03-11 23:56:06,uf20-01.cnf,89,91,False,"{""x1"": 4.462425622233482, ""x2"": -1.1755308401662652, ""x3"": 1.0741732552690884, ""x4"": 4.708128006061462, ""x5"": -5.424953922325312, ""x6"": -1.3089882261268995, ""x7"": 0.3963197310731887, ""x8"": 2.5327038261717636, ""x9"": 0.6936829602665849, ""x10"": 2.4803207670124046, ""x11"": 0.2903859176500432, ""x12"": 3.30609573080582, ""x13"": 0.20309689339410272, ""x14"": 1.9572380055157885, ""x15"": -1.4569136598755825, ""x16"": -4.311434542490257, ""x17"": 4.236032483500346, ""x18"": -1.2760522245374344, ""x19"": -1.9734543257904757, ""x20"": 1.0376083661282454}",graphs/uf20-01.png
2025-03-11 23:56:14,uf20-02.cnf,91,91,True,"{""x1"": -0.3123214495421402, ""x2"": -5.453777784853068, ""x3"": 0.4694621750553968, ""x4"": -2.9949943699165456, ""x5"": 1.0788829227536842, ""x6"": -1.1898710211532342, ""x7"": 2.8153736492440067, ""x8"": 6.916906058849979, ""x9"": 2.9423545494762, ""x10"": -4.0620887537262975, ""x11"": -5.04609856466019, ""x12"": 0.3544506816586077, ""x13"": -7.751859015591119, ""x14"": 4.42985280167444, ""x15"": 0.5671682680785801, ""x16"": 5.144053138071326, ""x17"": -1.6709689981953382, ""x18"": -1.7318646962489275, ""x19"": 3.3273635077032684, ""x20"": -4.160682201111529}",graphs/uf20-02.png
2025-03-11 23:56:23,uf20-03.cnf,90,91,False,"{""x1"": 3.5833506209280244, ""x2"": 0.5081289622145853, ""x3"": 6.303595356355822, ""x4"": 0.385000707055159, ""x5"": -2.1916483455016467, ""x6"": 2.825007726486637, ""x7"": 3.2965402155915706, ""x8"": 4.440399428035732, ""x9"": 8.076580013138292, ""x10"": 6.378812447206708, ""x11"": 0.8916684047016037, ""x12"": -3.572145184685521, ""x13"": -0.7394849365912194, ""x14"": 0.2044376473993829, ""x15"": 2.9038215407601013, ""x16"": 1.69225548491245, ""x17"": 2.0968807427395424, ""x18"": -1.5618625338583128, ""x19"": -3.1340235690937637, ""x20"": 5.830456405073228}",graphs/uf20-03.png
2025-03-11 23:56:31,uf20-04.cnf,89,91,False,"{""x1"": -1.2371749535876628, ""x2"": -1.9019823145413857, ""x3"": -3.1965659265787436, ""x4"": -0.5028071131174603, ""x5"": 0.44974736611462024, ""x6"": 0.6977861309898644, ""x7"": 4.4899199731994655, ""x8"": 0.8223807888276754, ""x9"": -2.0299463135038485, ""x10"": 7.92659914928405, ""x11"": 0.443682401065883, ""x12"": -1.4663946202547196, ""x13"": 2.456893056645914, ""x14"": 3.3880332149667765, ""x15"": -4.012713455519326, ""x16"": 9.317283550066877, ""x17"": 2.304369871487735, ""x18"": 4.885764643434008, ""x19"": 1.1056524633224496, ""x20"": 2.854204578418547}",graphs/uf20-04.png
2025-03-11 23:56:40,uf20-05.cnf,91,91,True,"{""x1"": -7.132311488175028, ""x2"": -1.4259153246248866, ""x3"": -3.3019562314516095, ""x4"": -4.367673974847479, ""x5"": 4.220171929829226, ""x6"": -5.2803054456248315, ""x7"": 2.528503886734699, ""x8"": -1.3679086007467447, ""x9"": -5.5505767536113835, ""x10"": 4.654680619220925, ""x11"": -4.682674519303479, ""x12"": 2.6604623886407897, ""x13"": 6.320370084747101, ""x14"": -3.430123545420273, ""x15"": 4.608070493746157, ""x16"": 0.4218209900369515, ""x17"": -1.6070389449057019, ""x18"": 4.169138109723087, ""x19"": -6.027755145543953, ""x20"": 2.366138880138928}",graphs/uf20-05.png
2025-03-11 23:56:48,uf20-06.cnf,90,91,False,"{""x1"": -2.500286390026345, ""x2"": 3.262011693630886, ""x3"": -7.373799422305262, ""x4"": -6.209024451944367, ""x5"": 6.487339144694589, ""x6"": -1.3825348834932465, ""x7"": 4.270062437357642, ""x8"": 0.7043058506325998, ""x9"": 3.3787414408576657, ""x10"": -4.590599219308589, ""x11"": 2.059990493221051, ""x12"": 5.986457407722624, ""x13"": 4.888216535622136, ""x14"": 6.317777578099775, ""x15"": 3.37322508956091, ""x16"": 3.030298526433557, ""x17"": -1.4136671369893306, ""x18"": 0.5260972214136422, ""x19"": 0.45292471829335346, ""x20"": 4.494069100022919}",graphs/uf20-06.png
2025-03-11 23:56:57,uf20-07.cnf,91,91,True,"{""x1"": -6.0025344903581574, ""x2"": -4.207276846142439, ""x3"": 6.337102023634491, ""x4"": 4.431206792038289, ""x5"": -6.519489469566993, ""x6"": 0.8047796641064053, ""x7"": 3.72046016337371, ""x8"": 0.5672979740638926, ""x9"": 0.7546303720421206, ""x10"": -5.685206119968476, ""x11"": -1.8014061229675964, ""x12"": 2.179395755221541, ""x13"": 0.5932920592849624, ""x14"": -2.5255654946420343, ""x15"": 5.4624616390605265, ""x16"": -4.586885955203268, ""x17"": -3.198533237340156, ""x18"": 1.3698171603409492, ""x19"": 2.6366398339075237, ""x20"": 5.012393938205695}",graphs/uf20-07.png
2025-03-11 23:57:05,uf20-08.cnf,90,91,False,"{""x1"": -2.2261106556303862, ""x2"": 1.7770373514105902, ""x3"": 5.253281219957079, ""x4"": 5.566748197060281, ""x5"": -5.468900003794008, ""x6"": 4.345712023555278, ""x7"": -2.532824913978307, ""x8"": -6.545224970879885, ""x9"": 0.26723840713807895, ""x10"": 0.031774156831223845, ""x11"": -1.0039115940456897, ""x12"": 2.298246779811086, ""x13"": 5.010165427229035, ""x14"": -1.335608983804668, ""x15"": -0.8980384549559909, ""x16"": -1.2128618099818396, ""x17"": -3.489394409924649, ""x18"": -5.668288856957093, ""x19"": -3.6122433909683203, ""x20"": 0.8235506466245165}",graphs/uf20-08.png
2025-03-11 23:57:14,uf20-09.cnf,89,91,False,"{""x1"": -0.757102166986088, ""x2"": 0.8600282650163161, ""x3"": 3.2748649296932006, ""x4"": 3.280072379988177, ""x5"": 2.688631975456585, ""x6"": 0.17081798442913843, ""x7"": 0.1065399139965809, ""x8"": -8.798631375029295, ""x9"": -1.8048473395352513, ""x10"": -0.6476127162539689, ""x11"": 5.396931056408823, ""x12"": 1.5423526357752488, ""x13"": 3.491761464984247, ""x14"": 0.4641667647286673, ""x15"": -1.6509166787770966, ""x16"": 1.7555036595877729, ""x17"": 4.122998382418375, ""x18"": -3.7278990813989177, ""x19"": 2.5817877548771873, ""x20"": 2.308824152528505}",graphs/uf20-09.png
