timestamp,file_name,satisfied_clauses,total_clauses,all_satisfied,satisfied_at,finished_at,voltages,plot_file
2025-04-27 17:32:50,example.cnf,7,7,True,0.000,20.000,"{""x1"": 1.000000151965627, ""x2"": 1.0000001519656265, ""x3"": -1.5196563326988057e-07}",graphs/example.png
2025-04-27 17:33:11,uf20-01.cnf,91,91,True,2.667,20.000,"{""x1"": 1.0000000753432268, ""x2"": -3.993823883495819e-07, ""x3"": -6.565689733693722e-07, ""x4"": -7.068374502936473e-07, ""x5"": -1.289282962683669e-07, ""x6"": 1.0000004061439034, ""x7"": -4.501749792892585e-07, ""x8"": -7.07513676997985e-07, ""x9"": 0.8754428093195851, ""x10"": -1.9201949320591716e-07, ""x11"": -7.863764578978002e-07, ""x12"": -5.471042073462937e-07, ""x13"": 1.000000001909863, ""x14"": 1.0000006033266045, ""x15"": 1.0000008261555262, ""x16"": -1.040250714069546e-07, ""x17"": 1.0000002383026019, ""x18"": -2.2076333993901026e-07, ""x19"": -3.053830867384344e-07, ""x20"": 1.0000000898991168}",graphs/uf20-01.png
2025-04-27 17:33:31,uf20-02.cnf,91,91,True,0.665,20.000,"{""x1"": -4.244791081489116e-08, ""x2"": -2.0699928238566345e-07, ""x3"": 0.3945695611498169, ""x4"": -1.2919332220364375e-07, ""x5"": 1.000000017634087, ""x6"": -5.243285547041999e-08, ""x7"": 1.0000000992211697, ""x8"": 1.0000001900287714, ""x9"": 1.0000001013799167, ""x10"": -1.426045315490421e-07, ""x11"": -1.8369710342003325e-07, ""x12"": 0.3300973924059882, ""x13"": -1.7317651891551444e-07, ""x14"": 1.0000002101403913, ""x15"": 0.5611506886840801, ""x16"": 1.0000002331095406, ""x17"": -9.525963230891416e-08, ""x18"": -1.2656421877504835e-07, ""x19"": 1.0000000952519845, ""x20"": -8.53351851507004e-08}",graphs/uf20-02.png
2025-04-27 17:33:50,uf20-03.cnf,91,91,True,1.902,20.000,"{""x1"": 1.0000002089397404, ""x2"": 1.0000001747015228, ""x3"": 1.0000000559404463, ""x4"": 1.0000002184355168, ""x5"": -1.1090668068068144e-07, ""x6"": 1.0000002065426128, ""x7"": 1.0000003959965016, ""x8"": 1.0000002201194402, ""x9"": 1.0000000901259778, ""x10"": 1.0000001785510357, ""x11"": 1.0000003416278114, ""x12"": -1.354843759243534e-07, ""x13"": 1.0000004182977242, ""x14"": -6.036563972598315e-07, ""x15"": -3.7421529147038846e-07, ""x16"": 1.0000003502025998, ""x17"": 1.0000001155609006, ""x18"": 1.000000653185273, ""x19"": -1.4057369643884802e-07, ""x20"": 1.0000003636072987}",graphs/uf20-03.png
2025-04-27 17:34:11,uf20-04.cnf,91,91,True,5.041,20.000,"{""x1"": 1.0000004032686989, ""x2"": -1.1947646591352542e-06, ""x3"": 1.000000945362767, ""x4"": 1.0000009954452818, ""x5"": -3.6158211973950396e-07, ""x6"": -8.280427158415794e-07, ""x7"": 1.0000000000112272, ""x8"": -4.1731598022868324e-07, ""x9"": -1.6588789596234276e-06, ""x10"": 1.0000004019385538, ""x11"": 0.0027696551732180326, ""x12"": -7.536190548221549e-07, ""x13"": 1.0000010580114747, ""x14"": -1.1665542223433168e-06, ""x15"": -5.846828018582456e-07, ""x16"": 1.0000005368169202, ""x17"": 1.000001202995046, ""x18"": -1.2046519711822726e-06, ""x19"": -5.096720537967851e-07, ""x20"": -9.45840002484845e-07}",graphs/uf20-04.png
2025-04-27 17:34:31,uf20-05.cnf,91,91,True,1.145,20.000,"{""x1"": -3.2942782823505663e-07, ""x2"": -1.0385764176289027e-07, ""x3"": -1.8218051464844056e-07, ""x4"": -1.9831250264785898e-07, ""x5"": 1.0000002374981016, ""x6"": -2.663773710506181e-07, ""x7"": 1.0000000910844071, ""x8"": -1.6694392885568858e-07, ""x9"": -2.5977665941420696e-07, ""x10"": 1.0000001378878505, ""x11"": -1.3602221461550298e-07, ""x12"": 1.0000000586579818, ""x13"": 1.0000002547610123, ""x14"": -1.9794743795577963e-07, ""x15"": 1.0000001412208224, ""x16"": 0.42736182133224465, ""x17"": -1.0646319817645935e-07, ""x18"": 1.0000002053198724, ""x19"": -1.8222735621805288e-07, ""x20"": 1.0000001606364888}",graphs/uf20-05.png
2025-04-27 17:34:51,uf20-06.cnf,91,91,True,5.162,20.000,"{""x1"": 1.0000008133686824, ""x2"": 1.0000011340349557, ""x3"": -6.722901720083509e-07, ""x4"": -1.0030464720825317e-06, ""x5"": 1.0000005160233256, ""x6"": -9.7549292875619e-07, ""x7"": -1.0879317762101112e-07, ""x8"": 1.0000010993324249, ""x9"": -1.23498482825849e-07, ""x10"": 1.0000005681093154, ""x11"": 1.0000023272691114, ""x12"": 1.00000291629948, ""x13"": -3.9990708964369376e-07, ""x14"": 1.0000013425822343, ""x15"": 1.000001024165725, ""x16"": 1.0000003981675565, ""x17"": 1.0000010917308382, ""x18"": 7.742716842866697e-05, ""x19"": -1.1021297242594436e-12, ""x20"": 1.0000001419497284}",graphs/uf20-06.png
2025-04-27 17:35:11,uf20-07.cnf,91,91,True,1.443,20.000,"{""x1"": -1.900036286860407e-07, ""x2"": -1.6979961731418793e-07, ""x3"": 1.0000001289804687, ""x4"": 1.0000001155033884, ""x5"": -2.132663964627188e-07, ""x6"": 1.000000043511388, ""x7"": 1.0000000530689432, ""x8"": 0.6242798554956747, ""x9"": 0.6381219175616892, ""x10"": -2.493368009923648e-07, ""x11"": -8.46263599054539e-08, ""x12"": 1.0000001406309416, ""x13"": 0.572439850210748, ""x14"": -1.679500234079223e-07, ""x15"": 1.0000001568963333, ""x16"": -1.4272842406086668e-07, ""x17"": -2.0631420957323706e-07, ""x18"": 1.0000000054168787, ""x19"": 1.0000002087776358, ""x20"": 1.0000001355727963}",graphs/uf20-07.png
2025-04-27 17:35:30,uf20-08.cnf,91,91,True,1.930,20.000,"{""x1"": -1.2400141946139365e-07, ""x2"": -3.991582055584356e-07, ""x3"": 1.0000000413972778, ""x4"": 1.0000002886046735, ""x5"": -1.6142961522453942e-07, ""x6"": 1.000000129267571, ""x7"": -2.565424101062989e-07, ""x8"": -8.985150719975639e-08, ""x9"": 1.000000289261171, ""x10"": -1.7179257836270397e-07, ""x11"": 1.0000002306531317, ""x12"": -2.9457166174666697e-07, ""x13"": 1.0000001298191172, ""x14"": -1.5427583960596358e-07, ""x15"": -3.2080694229762175e-07, ""x16"": -3.61923735247703e-07, ""x17"": -1.1457445908240297e-07, ""x18"": -2.5192873228368866e-07, ""x19"": -1.506779910674855e-07, ""x20"": 0.7647559197185959}",graphs/uf20-08.png
2025-04-27 17:35:51,uf20-09.cnf,91,91,True,4.765,20.000,"{""x1"": -7.445301701357258e-07, ""x2"": 1.0000021334289713, ""x3"": 1.000000101761369, ""x4"": -8.327976910309823e-07, ""x5"": -2.6214350219812057e-07, ""x6"": 1.0000004665581255, ""x7"": -5.696180184251525e-08, ""x8"": 1.0000004033662728, ""x9"": -1.4262495208292813e-06, ""x10"": 1.0000002379482649, ""x11"": 1.000000112989843, ""x12"": 1.0000005124797424, ""x13"": 1.000000229821789, ""x14"": -5.891607135831284e-07, ""x15"": 1.0000008367012008, ""x16"": 1.0000005786121782, ""x17"": 1.0000002659551008, ""x18"": -4.6327744860423594e-07, ""x19"": -3.674831909773217e-07, ""x20"": -7.362029412754704e-07}",graphs/uf20-09.png
